epoch,train_loss,val_loss,val_avg_r2,val_weight_r2,val_length_r2
1,0.3469911515712738,0.36848555718149456,-0.5286908149719238,-0.37944746017456055,-0.6779341697692871
2,0.22107886699959636,0.38259039393493105,-0.5626572370529175,-0.726528525352478,-0.39878594875335693
3,0.1664155545644462,0.37721002314771923,-0.5573832988739014,-0.6855920553207397,-0.429174542427063
4,0.15237748809158802,0.3525198165859495,-0.3840342164039612,-0.6337995529174805,-0.1342688798904419
5,0.15153757967054843,0.37867737667901175,-0.5264930725097656,-0.7383303642272949,-0.31465578079223633
6,0.13719280930235983,0.24581056833267212,0.04274889826774597,-0.009844660758972168,0.09534245729446411
7,0.12180625088512897,0.31544315602098194,-0.24514400959014893,-0.26839590072631836,-0.2218921184539795
8,0.12640956193208694,0.22434587244476592,0.1432793140411377,0.16420596837997437,0.12235265970230103
9,0.11537359803915023,0.2884687845196043,-0.08011060953140259,-0.46985673904418945,0.3096355199813843
10,0.10044742114841938,0.27073087862559725,-0.10828185081481934,-0.04558229446411133,-0.17098140716552734
